,код СКМТР,Наименование,Маркировка,Регламенты (ГОСТ/ТУ),Параметры,Базисная Единица измерения,ОКПД2,is_tu,ОКПД2_сокр,Параметры парс
152625,4025200472,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,APC SMART-UPS 750VA SMT750RMI2U,,750ВА,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
152626,4025200477,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,IPPON BACK POWER LCD PRO 600 9C00-43335-Q0P,,"600ВА 390Х232Х147 5,45КГ",796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
152627,4025200480,БЛОК ПИТАНИЯ НА DIN-РЕЙКУ,DRA10-12,,12В 10ВТ,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152628,4025200482,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,APS SUA750XLI,,750ВА,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
152629,4025200486,БЛОК ПИТАНИЯ,THERMALTAKE W0116PFC BLACK,,750ВТ ATX P4,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152631,4025200492,БЛОК ПИТАНИЯ,FSP 700-80GLN,,700ВТ,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152632,4025200495,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,APC BE550-RS,,TOWER 550ВА 330ВТ,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
152633,4025200497,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,APC BACK-UPS CS 350 USB/SERIAL,,350ВА/210ВТ,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
152634,4025200499,БЛОК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,IPPON UPS,,650ВТ USB+RJ11,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152635,4025200511,БЛОК ПИТАНИЯ К СИСТЕМНОМУ БЛОКУ,SPI 500,,500ВТ ATX,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152636,4025200517,БЛОК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,FSP GROUP ATX-350PNF,,350ВТ,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152637,4025200529,БЛОК ПИТАНИЯ,THERMALTAKE W0144RE,,600ВТ ATX 12V 2.2,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152638,4025200532,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,SVEN POWAR PRO+500,,500VA/300ВТ,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
152639,4025200533,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,ALLY HF-1000,,1000ВА,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
152641,4025200538,БЛОК ПИТАНИЯ ДЛЯ ЩИТОВЫХ ЦИФРОВЫХ ПРИБОРОВ,БПЛ5-2,ТУ 25-7504.166-2003,"5В 2Х0,2А 2Х1ВА",796,26.20.40.110,1,26,|форм-фактор|мощность|стандарт эффективности|pfc
152642,4025200539,БЛОК ПИТАНИЯ ДЛЯ ЩИТОВЫХ ЦИФРОВЫХ ПРИБОРОВ,БПИ5-1.01,ТУ 25-7504.166-2003,5В 3А 15ВА,796,26.20.40.110,1,26,|форм-фактор|мощность|стандарт эффективности|pfc
152643,4025200540,БЛОК ПИТАНИЯ,THERMALTAKE PUREPOWER RX,,450ВТ 4P/20P+1X6P FOR PCIEX 4X5P SATA,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152644,4025200542,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,SMART UPS 1500I USB SUA1500I,,1500ВА 980ВТ,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
152645,4025200544,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,APC BACK-UPS RS650VA,,650ВА 390ВТ,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
152646,4025200546,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,POWERCOM SMART KING SMK-800A,,"24В 7.2А/ЧАС 800ВА/480ВТ 140Х445Х200 14,5КГ",796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
152647,4025200551,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,APC BE525-RS,,525ВА 300ВТ,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
152651,4025200563,БЛОК ПИТАНИЯ МОНИТОРА,ROBITON IN5000S,,6-15В 5А 75ВТ,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152652,4025200566,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,140N62860,,500ВТ,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
152653,4025200583,БЛОК ПИТАНИЯ ДЛЯ НОУТБУКА УНИВЕРСАЛЬНЫЙ,FSP NB PLUS,,90ВТ 15/16/18/19/20/21В USB,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152654,4025200584,БЛОК БАТАРЕЙНЫЙ ДЛЯ ИСТОЧНИКА БЕСПЕРЕБОЙНОГО ПИТАНИЯ,APC SMART-UPS RT 48V RM BATTERY PACK,,48В 31МИН 0-40С ЧЕРНЫЙ,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152655,4025200587,БЛОК ЭЛЕКТРОПИТАНИЯ ИМПУЛЬСНЫЙ,ТР220-12,ТУ 4213-007-52209927-2008,12В 1А,796,26.20.40.110,1,26,|форм-фактор|мощность|стандарт эффективности|pfc
152656,4025200589,АККУМУЛЯТОР ДЛЯ НОУТБУКА,LI-ION,,64ВТ,796,26.20.40.110,0,26,|назначение|тип|модель совместимого устройства|тип аккумулятора
152657,4025200592,БЛОК ПИТАНИЯ,ACER DA-60F19,,"19В 3,16А 60ВТ",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152658,4025200593,ИСТОЧНИК ВТОРИЧНОГО ЭЛЕКТРОПИТАНИЯ РЕЗЕРВИРОВАННЫЙ,СКАТ-2400 ИСП.6/10,,24В 6-10А,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
152659,4025200594,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,FSP EP650,,650ВА 360В,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
152660,4025200599,БЛОК ПИТАНИЯ СЕРВЕРА,HP 503296-B21,,460ВТ 12В,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152661,4025200603,БЛОК ПИТАНИЯ СЕРВЕРА,HP DPS-800GB (379123-001),,800ВТ,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152662,4025200604,ИСТОЧНИК РЕЗЕРВНОГО ЭЛЕКТРОПИТАНИЯ,СКАТ 2400/Р20,ФИАШ.436531.015 ТУ,24В 20А,796,26.20.40.110,1,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
152663,4025200612,БЛОК ПИТАНИЯ,HOT-SWAP POWER SUPPLY 212398-002,,499ВТ 240В 7А 50/60ГГЦ,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152664,4025200613,БЛОК ПИТАНИЯ,CHIEFTEC APS-500S,,500 ВТ,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152665,4025200615,БЛОК ПИТАНИЯ,POWER ADAPTER-ZML,,10ВТ,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152666,4025200616,ИСТОЧНИК ВТОРИЧНОГО ЭЛЕКТРОПИТАНИЯ РЕЗЕРВИРОВАННЫЙ,ВОЛНА ИБП-48 ИСП.3/10,ФИАШ.436234.045 ТУ,48В 3-10А,796,26.20.40.110,1,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
152668,4025200631,БЛОК ПИТАНИЯ,CORSAIR CMPSU-700G,,"700ВТ ATX 12В 2,3 A.PFC, FAN 14 СМ TRI-COLOR LEDS, RETAIL",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152669,4025200633,БЛОК ПИТАНИЯ,FSP 550W SPI PRO,,"550ВТ ATX 12В 2,2 A, FAN 12СМ, RETAIL",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152670,4025200635,БЛОК ПИТАНИЯ,COOLER MASTER EXTREME POWER PLUS 600W RS600-PCARE3-EU,,"600ВТ ATX 12В 2.3 A, FAN 12СМ, RETAL",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152671,4025200638,БЛОК ПИТАНИЯ,ENHANCE ATX-0260GA,,"600ВТ ATX, FAN 12СМ, ACTIVE PFC, OEM",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152672,4025200656,БЛОК ПИТАНИЯ ДЛЯ ПРИНТЕРА,HP 0950-4203,,230/32-15В 300МА,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152673,4025200661,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,CYBERPOWER V 500E,,500ВА 240ВТ,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
152674,4025200668,АККУМУЛЯТОР ДЛЯ НОУТБУКА,HP COMPAQ 395794-003,,"14,8В 4,4А/ЧАС",796,26.20.40.110,0,26,|назначение|тип|модель совместимого устройства|тип аккумулятора
152675,4025200674,БЛОК ПИТАНИЯ,FSP EPSILON 85PLUS 600W,,600ВТ ATX MATX,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152676,4025200675,АДАПТЕР ПИТАНИЯ ЖИДКОКРИСТАЛЛИЧЕСКОГО МОНИТОРА,AD-4214N,,100-240/14В 3А,796,26.20.40.110,0,26,|цвет товара|выход. напряжение (мин)|тип|корпус
152677,4025200686,БЛОК ПИТАНИЯ ДЛЯ МОНОБЛОКА,SONY VGP-AC19V21,,"19.5В 7,5А",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152679,4025200697,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,APC BACK-UPS RS 500VA(BR500CI-RS),,500ВА/300ВТ,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
152680,4025200698,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,POWERCOM SMART KING PCM SMK-1000A,,1000ВА,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
152681,4025200699,ИСТОЧНИК ПИТАНИЯ СТАБИЛИЗАТОРНЫЙ,AGP-12-2,,12В,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
152683,4025200707,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,CYBERPOWER VALUE 1000E,,1000ВА 530ВТ,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
152684,4025200708,БЛОК ПИТАНИЯ,CORSAIR CMPSU-650HXEU,,"650ВТ ATX 12В 2,2/EPS 12В, PFC, 20/24+4/8+6/8PIN",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152685,4025200711,АДАПТЕР ПИТАНИЯ ДЛЯ НОУТБУКОВ УНИВЕРСАЛЬНЫЙ,WINARD WN-PAB90-BC10A,,90ВТ 5-22В 5А,796,26.20.40.110,0,26,|цвет товара|выход. напряжение (мин)|тип|корпус
152686,4025200713,БЛОК ПИТАНИЯ ДЛЯ НОУТБУКА,AL190474A,,"19В 4.74А РАЗЪЕМ 5,5Х2,5ММ",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152687,4025200715,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,FSP EP850,,850ВА 480ВТ,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
152688,4025200717,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,APC SMART-UPS 1500 USB (SC1500I),,1500ВА 8650ВТ,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
152689,4025200720,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,IPPON BACK OFFICE1000,,1000ВА,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
152690,4025200728,БЛОК ПИТАНИЯ,XEROX 140N63273,,,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152691,4025200733,АДАПТЕР ПИТАНИЯ ДЛЯ НОУТБУКОВ АВТОМОБИЛЬНЫЙ,HAMA H-39755,,150ВТ,796,26.20.40.110,0,26,|цвет товара|выход. напряжение (мин)|тип|корпус
152692,4025200736,АККУМУЛЯТОР ДЛЯ РАДИОСТАНЦИИ,VERTEX STANDARD FNB-V106,,"NI-MH 7,4B 1200МА/ЧАС 90Х58Х22 180Г",796,26.20.40.110,0,26,|назначение|тип|модель совместимого устройства|тип аккумулятора
152693,4025200740,БЛОК ПИТАНИЯ,HP 321632-001,,575ВТ,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152694,4025200741,ИСТОЧНИК ПИТАНИЯ РЕЗЕРВИРОВАННЫЙ,РИП-12 RS ВЕР.1.02 АЦДР.436534.004,,12В-3А-17,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
152695,4025200742,БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА,JNC CE,,550ВТ DВЕНТ=120ММ ATX2.2,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152696,4025200746,БЛОК ПИТАНИЯ МАРШРУТИЗАТОРА,CISCO PWR-2911-DC,,200ВТ 100-240В,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152697,4025200751,БЛОК ПИТАНИЯ,ATX 1000W CHIEFTEC,,1000ВТ 6PIN,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152698,4025200752,БЛОК ПИТАНИЯ,THERMALTAKE TR2 TR-600PCEU,,TATX 600ВТ 80+BRONZE APFC 120MM FAN RTL,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152699,4025200754,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,POWERMAN BLACK STAR 500,,500ВА,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
152701,4025200758,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,CYBERPOWER VALUE 600E,,600ВА 360ВТ,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
152702,4025200762,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,POWERCOM IMPERIALIMD-625AP,,625ВА/375 ВТ,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
152703,4025200768,БЛОК ПИТАНИЯ,THERMALTAKE LT-600CEU,,"600ВТ, ATX12V 2.3",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152704,4025200776,БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА,COOLER MASTER RS500-PSAPJ3-BU,,500ВТ ATX 12V V.2.31,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
