,форм-фактор,мощность,стандарт эффективности,pfc,тип товара в одно слово,тип товара в 2 слова,Наименование,Параметры_изначальные,тип,длина кабеля,особенности,максимальная нагрузка,выходная мощность,выходных разъемов,разъемов с питанием от батареи,интерфейсы,аритикул маркета,модель/исполнение,номин. напряжение,емкость батареи,источник света,тип цоколя,тип питания,Тип товара в одно слово,Тип товара в 2 слова,артикул маркета,тип товара в два слова,назначение,модель совместимого устройства,тип аккумулятора,цвет товара,выход. напряжение (мин),корпус,артикула маркета
458,atx,600,20+4p,,блок,блок питания,['БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА'],"['ATX 12В 2,3 600ВТ 230В 4,5A 47-63ГЦ 20+4P 4+4P PCIE 6+2P 3PATA 4SATA FDD']",,,,,,,,,,,,,,,,,,,,,,,,,,
459,atx,500,80+,,блок,блок питания,['БЛОК ПИТАНИЯ'],"['500ВТ ATX 12V VER. 2.3 20+4PIN 230В 150Х86Х140 1,3КГ']",,,,,,,,,,,,,,,,,,,,,,,,,,
460,atx,500,,,блок,блок питания,['БЛОК ПИТАНИЯ'],"['500ВТ ATX12V V2.3 ВЕНТИЛЯТОР=120Х120 150Х140Х86 1,65КГ']",,,,,,,,,,,,,,,,,,,,,,,,,,
461,atx,600,,,блок,блок питания,['БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА'],['ATX 12V V2.31 600ВТ 24+4+4 PIN 1 ВЕНТИЛЯТОР=120 150Х140Х86'],,,,,,,,,,,,,,,,,,,,,,,,,,
462,atx,850,,,блок,блок питания,['БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА'],['850ВТ ATX 12V DВЕНТИЛЯТОРА=140 150Х160Х86'],,,,,,,,,,,,,,,,,,,,,,,,,,
463,atx,500,86,,блок,блок питания,['БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА'],['500ВТ 230-240В ATX 12В DВЕНТИЛЯТОРА=120 86Х140Х150'],,,,,,,,,,,,,,,,,,,,,,,,,,
464,atx,750,,,блок,блок питания,['БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА'],['750ВТ ATX 12В DВЕНТИЛЯТОРА=120 150Х86Х140'],,,,,,,,,,,,,,,,,,,,,,,,,,
465,atx,500,80,,блок,блок питания,['БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА'],"['500ВТ ATX ВЕНТИЛЯТОР=80 86Х150Х140 0,83КГ']",,,,,,,,,,,,,,,,,,,,,,,,,,
466,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['220В 0,5КВА/0,4КВТ 89Х440Х465 15КГ']",,,,,"0,4квт",,,,,,,,,,,,,,,,,,,,,
467,,,,,модуль,батарейный источник,['МОДУЛЬ БАТАРЕЙНЫЙ ИСТОЧНИКА БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['36В 18А/ЧАС 6АБ 490Х390Х88 26КГ ЧЕРНЫЙ'],,,6аб,,,,,,,bmrt-36-18,36,18,,,,,,,,,,,,,,
468,,,,,источник,источник бесперебойного питания,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['700ВА 230В'],,,,,700,,,,,,,,,,,,,,,,,,,,,
469,,,,,фильтр,сетевой фильтр,['ФИЛЬТР СЕТЕВОЙ'],['3М 2200ВТ 10А 5РОЗЕТОК С ЗАЗЕМЛЕНИЕМ +1БЕЗ ЗАЗЕМЛЕНИЯ ПЛАСТИК БЕЛЫЙ 375Х58Х46ММ'],фильтр,3м,,2200Вт,,,,,,,,,,,,,,,,,,,,,,
470,,,,,источник,источник бесперебойного питания,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['720ВТ, 220В, АВТОМАТИЧЕСКОЕ ВКЛЮЧЕНИЕ, 0-40С, 3ХSCHUKO 12В/7АЧ Х 2, LED-ИНДИКАТОРЫ, 330Х122Х192 ММ, ЧЕРНЫЙ']",,,,,720,3,,,,,,,,,,,,,,,,,,,,
471,,,,,источник,источник бесперебойного питания,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['230В/1200ВА/720ВТ 125Х320Х225 10,1КГ ЧЕРНЫЙ']",,,,,720,,,usb,,,,,,,,,,,,,,,,,,
472,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['700ВА 230В 252Х160Х357 11,5КГ ЧЕРНЫЙ']",,,,,700,,,,,,,,,,,,,,,,,,,,,
473,,,,,источник,источник бесперебойного питания,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['1200ВА 165-290/230В 4МСЕК CEE7 USB LCD 8ХSCHUKO 166Х118Х288ММ/8.2КГ/ЧЕРНЫЙ'],,,,,1200ва,8,,usb,,,,,,,,,,,,,,,,,,
474,atx,650,,,блок,блок питания,['БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА'],['650ВТ 220-240В ATX 2.4 DВЕНТИЛЯТОРА=120 150Х140Х86'],,,,,,,,,,,,,,,,,,,,,,,,,,
475,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ ЛИНЕЙНО-ИНТЕРАКТИВНЫЙ'],"['850ВА 425ВТ 230В 2ХSCHUKO 84Х159Х252 4,2КГ ЧЕРНЫЙ']",,,,,425,2,,,,,,,,,,,,,,,,,,,,
476,,700,,,блок,блок бесперебойного,['БЛОК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['700ВА 230В 230Х160Х350 12,2КГ']",,,,,,,,,,,,,,,,,,,,,,,,,,
477,atx,600,,,блок,блок питания,['БЛОК ПИТАНИЯ'],"['600ВТ 230В ATXV2.3 DВЕНТ=120 149Х150Х86 1,63КГ']",,,,,,,,,,,,,,,,,,,,,,,,,,
478,atx,400,,,блок,блок питания,['БЛОК ПИТАНИЯ'],['400ВТ ATX 120MM 2ХSATA PFC'],,,,,,,,,,,,,,,,,,,,,,,,,,
479,,,,,бесперебойник,бесперебойное питание,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['800ВА 230В'],,,,,800,,,,,,,,,,,,,,,,,,,,,
480,,,,,источник,источник бесперебойного питания,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['1500ВА/LCD /230В'],,,,,1500,,,,,,,,,,,,,,,,,,,,,
481,atx,400,,,блок,блок питания,['БЛОК ПИТАНИЯ ДЛЯ КОМПЬЮТЕРА'],['400ВТ ATX 150Х140Х86'],,,,,,,,,,,,,,,,,,,,,,,,,,
482,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['500ВА 230В IEC-320-C14 160Х305Х92 3.9КГ'],,,,,500ва,,,,,,,,,,,,,,,,,,,,,
483,,50,,,блок,блок бесперебойного,['БЛОК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['12,6-13,6-10-12,6В 220В 5А, 240Х170Х80 1,319КГ']",,,,,,,,,,,,,,,,,,,,,,,,,,
484,,300,,,блок,блок питания,['БЛОК ПИТАНИЯ'],"['300ВТ 220В ATX 24PIN, 2ХSATA, POWER CORD']",,,,,,,,,,,,,,,,,,,,,,,,,,
485,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['2200ВА 230В'],,,,,2200ва,,,,,,,,,,,,,,,,,,,,,
486,atx,400,,,блок,блок питания,['БЛОК ПИТАНИЯ'],['400ВТ ATX12V'],,,,,,,,,,,,,,,,,,,,,,,,,,
487,atx,400,86,,блок,блок питания,['БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА'],['400ВТ 220-240В ATX12V V 2.01 86Х140Х150'],,,,,,,,,,,,,,,,,,,,,,,,,,
488,,850,,,блок,блок бесперебойного,['БЛОК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['220В 255Х350Х160 LCD-ЭКРАН'],,,,,,,,,,,,,,,,,,,,,,,,,,
489,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['700ВА 220В 100Х140Х330'],,,,,700,,,,,,,,,,,,,,,,,,,,,
490,atx,650,80gl,,блок,блок питания,['БЛОК ПИТАНИЯ'],['650ВТ 220-240В ATX'],,,,,,,,,,,,,,,,,,,,,,,,,,
491,,350,20+4pin,,блок,блок питания,['БЛОК ПИТАНИЯ'],['350ВТ 230В 20+4PIN'],,,,,,,,,,,,,,,,,,,,,,,,,,
492,,,,,источник,источник бесперебойного питания,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['540В 900ВА INPUT 230В OUTPUT 230V INTERFACE PORT DB-9 RS-232 USB'],,,,,900,,,db-9 rs-232 usb,,,,,,,,,,,,,,,,,,
493,atx,450,,,блок,блок питания,['БЛОК ПИТАНИЯ'],['350ВТ 230В 12V 24PIN'],,,,,,,,,,,,,,,,,,,,,,,,,,
494,атх,600,,,блок,блок питания,['БЛОК ПИТАНИЯ'],['600ВТ/ATХ12V 2.3/230В/ВЕНТИЛЯТОР D=120Х120 150Х86Х140 ЧЕРНЫЙ'],,,,,,,,,,,,,,,,,,,,,,,,,,
495,,,,,источник,бесперебойное питание,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['2200ВА IEC 320-C14 RS-232 USB 139Х195Х364 11КГ'],,,,,2200,,,rs-232 usb,,,,,,,,,,,,,,,,,,
496,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['1000ВА/900ВТ 160-300В 1,5А 220/24В 88(2U)Х438Х420 12,7КГ']",,,,,900,,,,,,,,,,,,,,,,,,,,,
497,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['650ВА 220В USB LCD-ДИСПЛЕЙ 100Х140Х290 4,8КГ']",,,,,650,,,usb,,,,,,,,,,,,,,,,,,
498,,,,,источник,бесперебойное питание,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['2000ВА 230В, RJ-45, RJ-11, USB, HOT SWAP, 6ХIEC320 С13 130Х382Х192 14,5КГ']",,,,,2000,6,,"rj-45, rj-11, usb",,,,,,,,,,,,,,,,,,
499,atx,550,,,блок,блок питания,['БЛОК ПИТАНИЯ'],['ATX 12V V2.31 550ВТ 230В 4А DВЕНТИЛЯТОРА=120 150Х86Х140'],,,,,,,,,,,,,,,,,,,,,,,,,,
500,,,,,источник,бесперебойное питание,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['2000ВА/1200ВТ 230В 2Х9А/ЧАС 12В 6 РОЗЕТОК IEC C13 USB 146Х360Х164 11,1КГ ЧЕРНЫЙ']",,,,,2000ва/1200вт,6,,usb,,,,,,,,,,,,,,,,,,
501,atx,500,,,блок питания,блок питания,['БЛОК ПИТАНИЯ'],"['500ВТ ATX 12V V.2.3 115-230В 150Х86Х140 0,75КГ, СЕРЫЙ']",,,,,,,,,,,,,,,,,,,,,,,,,,
502,,,,,источник,источник бесперебойного питания,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['1000ВА 155-300/220-240В IEC320-C14 8РОЗЕТОК IEC320 140Х380Х210 14,1КГ ЧЕРНЫЙ']",,,,,1000,8,,,,,,,,,,,,,,,,,,,,
503,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['230В 800ВА 450ВТ 305Х160Х92 5,3КГ']",,,,,800,,,,,,,,,,,,,,,,,,,,,
504,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['650ВА 230В 4РОЗЕТКИ 92,5Х165Х305 4,5КГ ЧЕРНЫЙ']",,,,,650ва,4,,,,,,,,,,,,,,,,,,,,
505,,,,, источник,бесперебойное питание,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['10КВА, 10КВТ, 220/230/240В, 110-275В, 50/60ГЦ, 16Х12В/9АЧАС, 438Х593Х216 66,5КГ']",,,,,10кВт,,,,,,,,,,,,,,,,,,,,,
506,,,,,источник,источник бесперебойного питания,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['400ВА 220В, ВЫХОД SCHUKO CEE 7-6ШТ(4+2), ВХОД SCHUKO CEE 7/7P, IP20, 125Х320Х86 2,72КГ ЧЕРНЫЙ']",,,,,400ва,6шт(4+2),,,,,,,,,,,,,,,,,,,,
507,,,,,источник,источник бесперебойного питания,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['1000ВА 230В IEC 320 C13 RJ-11/RJ-45 278Х140Х100 4,5КГ ЧЕРНЫЙ']",,,,,1000ва,iec 320 c13,,rj-11/rj-45,,,,,,,,,,,,,,,,,,
508,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['800ВА 220В 6РОЗЕТОК EURO 170Х335Х93 5КГ ЧЕРНЫЙ'],,,,,800,6,,,,,,,,,,,,,,,,,,,,
509,,,,,источник,бесперебойное питание,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['700ВА 230В 3XSCHUKO+3SCHUKO 10A 170Х335Х86 3,8КГ ЧЕРНЫЙ']",,,,,700,3,3,,,,,,,,,,,,,,,,,,,
510,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['850ВА 220В 4ХIEC-320-C13 252Х84Х159 4,2КГ ЧЕРНЫЙ']",,,,,850,4,,,,,,,,,,,,,,,,,,,,
511,,,,,источник,бесперебойное питание,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['1200ВА 162-290/220В EC C14 / SCHUKO CEE7/7P ЖКИ С ПОДСВЕТКОЙ USB-ЗАРЯДКА-USB TYPE A-2ШТ 139Х195Х364 9,9КГ ЧЕРНЫЙ']",,,,,1200,,,usb type a,,,,,,,,,,,,,,,,,,
512,,,,,источник,источник бесперебойного питания,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['1500ВА 900ВТ 220В 12В/9АЧХ2 RJ-11 343Х135Х206 11КГ ЧЕРНЫЙ'],,,,,1500ВА,2,,RJ-11,,,,,,,,,,,,,,,,,,
513,,600,,,блок,блок бесперебойного,['БЛОК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['600ВА 390ВТ 220В 298Х101Х142 4,6 ЧЕРНЫЙ']",,,,,,,,,,,,,,,,,,,,,,,,,,
514,,,,,источник,бесперебойное питание,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['800ВА 220В IEC 320 C13-4ШТ IP20 100Х140Х290 5,5КГ']",,,,,800,4,,,,,,,,,,,,,,,,,,,,
515,atx,700,,,блок,блок питания,['БЛОК ПИТАНИЯ'],"['700ВТ 230В ATX 12V 2.3 24+4+4PIN 3SATA DВЕНТИЛЯТОРА=120 198Х459Х413 3,8КГ ЧЕРНЫЙ']",,,,,,,,,,,,,,,,,,,,,,,,,,
516,,600,,,блок,блок бесперебойного питания,['БЛОК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['600ВА 220В SCHUKO CEE 7/7P USB/RS-232 100Х143Х330 5,1КГ']",,,,,,,,,,,,,,,,,,,,,,,,,,
517,,,,,фильтр,фильтр сетевой,['ФИЛЬТР СЕТЕВОЙ'],"['5РОЗЕТОК 2,2КВТ 10А 220В L=КАБЕЛЯ=3М 300Х50Х40 0,4КГ БЕЛЫЙ']",фильтр сетевой,3м,,10а,,,,,,,,,,,,,,,,,,,,,,
518,atx,250,,,блок,блок питания,['БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА'],['ATX 12V V.2.31 250ВТ 220В ВЕНТИЛЯТОР=120Х120 24+4 PIN 150Х86Х140'],,,,,,,,,,,,,,,,,,,,,,,,,,
519,,,,,источник,источник бесперебойного питания,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['1000ВА 600ВТ 220В 8РАЗЪЕМОВ 9,4А/ЧАС RJ-11/RS232/USB TYPEB IP20 120Х202Х295 8КГ ЧЕРНЫЙ']",,,,,600вт,8разъемов,,rj-11/rs232/usb typeb,,,,,,,,,,,,,,,,,,
520,atx,750,,,блок,блок питания,['БЛОК ПИТАНИЯ'],['750ВТ 230В ATX12V 2.3 140Х150Х87'],,,,,,,,,,,,,,,,,,,,,,,,,,
521,atx,700,atx12v 2.2,,блок,блок питания,['БЛОК ПИТАНИЯ'],['700ВТ 230В ATX12V 2.2 140Х150Х86'],,,,,,,,,,,,,,,,,,,,,,,,,,
522,,,,,источник,источник бесперебойного питания,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['1000ВА 230В 278Х140Х100 4,5КГ']",,,,,1000ва,,,,,,,,,,,,,,,,,,,,,
523,,,,,источник,бесперебойное питание,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['750ВА 230В 89Х432Х490'],,,,,750,,,,,,,,,,,,,,,,,,,,,
524,,,,,источник,источник бесперебойного питания,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['1000ВА/580ВТ162-290В/220В 3РОЗЕТКИ 2БАТАРЕИ 12В, 7А/ЧАС 40ДБ 170Х98Х308 8,7КГ']",,,,,580 вт,3,2,,,,,,,,,,,,,,,,,,,
525,,,,,источник,источник бесперебойного питания,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['700ВА 230В 8РОЗЕТОК 288Х118Х166 5,3КГ']",,,,,700,8,,,,,,,,,,,,,,,,,,,,
526,,,,,фильтр,сетевой фильтр,['ФИЛЬТР СЕТЕВОЙ'],"['5РОЗЕТОК 3ХUSB 1,8М 16А 4000ВТ 300Х50Х50 0.6КГ БЕЛЫЙ']",фильтр,1.8м,,4000вт,,,,,,,,,,,,,,,,,,,,,,
527,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['850ВА 160-275В/AC=220В USB2.0 278Х100Х143 5,15КГ']",,,,,850,,,usb2.0,,,,,,,,,,,,,,,,,,
528,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['600ВА 150-295В/220В 220Х400Х510 14,9КГ']",,,,,600ва,,,,,,,,,,,,,,,,,,,,,
529,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['450ВА 240ВТ 230В 84Х159Х252 3,7КГ']",,,,,240 вт,,,,,,,,,,,,,,,,,,,,,
530,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['1000ВА/600ВТ 230В 579,5Х540,8Х242 20,9КГ']",,,,,600ватт,,,,,,,,,,,,,,,,,,,,,
531,,,,,источник,бесперебойное питание,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['1200ВА/720ВТ/220В/145Х205Х405 10КГ'],,,,,720 вт,,,,,,,,,,,,,,,,,,,,,
532,,,,,источник,источник бесперебойного питания,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['650ВА/220В/390ВТ/160Х113Х271/5,5КГ']",,,,,390 вт,,,,,,,,,,,,,,,,,,,,,
533,,,,,источник,источник бесперебойного питания,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['650ВА 162-285В/220В USB B SCHUKO CEE 7-2ШТ IP20 100Х143Х278 4,35КГ']",,,,,650ва,2шт,,usb,,,,,,,,,,,,,,,,,,
534,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ ЛИНЕЙНО-ИНТЕРАКТИВНЫЙ'],"['650ВА 180-270В/230В 101Х142Х300 4,2КГ']",,,,,650,,,,,,,,,,,,,,,,,,,,,
535,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['1500ВА/900ВТ/220В/130Х192Х382 13,6КГ']",,,,,1500,,,,,,,,,,,,,,,,,,,,,
536,,,,,источник,источник бесперебойного питания,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['600ВА/360ВТ 162-290В/220В 98X170X308 ЧЕРНЫЙ'],,,,,600,,,,,,,,,,,,,,,,,,,,,
537,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['230В 6А 1400ВА'],,,,,1400ва,,,,,,,,,,,,,,,,,,,,,
538,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['230В 3А 800ВА 480ВТ'],,,,,800вт,,,,,,,,,,,,,,,,,,,,,
539,atx12v2.3,600,bronze,,блок,блок питания,['БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА КОМПЬЮТЕРА'],['ATX12V2.3 600ВТ 115/230В D=120 BRONZE'],,,,,,,,,,,,,,,,,,,,,,,,,,
540,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['500ВА 220В 100Х143Х290 4,4КГ']",,,,,500ва,,,,,,,,,,,,,,,,,,,,,
541,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['650ВА 360ВТ 230В 4ХIEC320C13 84Х159Х252 3,8КГ']",,,,,360вт,4,,,,,,,,,,,,,,,,,,,,
542,,,,,источник,источник бесперебойного питания,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['600ВА 160В-275В/220В USB SMART RS-232 120Х202Х295 6КГ ЧЕРНЫЙ'],,,,,600ВА,,,"usb, rs-232",,,,,,,,,,,,,,,,,,
543,,,,,источник,источник бесперебойного питания,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['650ВА 360ВТ 230В 84Х159Х252 3,8КГ']",,,,,360,,,,,,,,,,,,,,,,,,,,,
544,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['230В 4А 950ВА 480ВТ'],,,,,480,,,,,,,,,,,,,,,,,,,,,
545,,,,,доступный,источник бесперебойного питания,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['230В 700ВА 390ВТ'],,,,,700,,,,,,,,,,,,,,,,,,,,,
546,,,,,источник,источник бесперебойного питания,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['650ВА 220В 8ХSCHUKO CEE 7 285Х103Х232'],,,,,650,8,,,,,,,,,,,,,,,,,,,,
547,,,,,источник,источник бесперебойного питания,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['230В 3А 650ВА 390ВТ'],,,,,650ва,,,,,,,,,,,,,,,,,,,,,
548,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['2000ВА 230В 439Х86,5Х436 21КГ']",,,,,2000,,,,,,,,,,,,,,,,,,,,,
549,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['400ВА/200ВТ 124Х166Х202 3,3КГ']",,,,,400ва/200вт,,,,,,,,,,,,,,,,,,,,,
550,,,,,источник,источник бесперебойного питания,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['1000ВА/900ВТ 7/1А 220/24В 88(2U)Х438Х420 12,9КГ']",,,,,900,7,,,,,,,,,,,,,,,,,,,,
551,,50,,,блок,блок питания,['БЛОК ПИТАНИЯ ДЛЯ ВИДЕОНАБЛЮДЕНИЯ'],['220В/50ГЦ 24В/50ГЦ'],,,,,,,,,,,,,,,,,,,,,,,,,,
552,,,,,источник,бесперебойное питание,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['650ВА 230В'],,,,,650,,,,,,,,,,,,,,,,,,,,,
553,,400,,,блок,блок питания,['БЛОК ПИТАНИЯ'],['400ВТ'],,,,,,,,,,,,,,,,,,,,,,,,,,
554,,400,,,блок,блок питания,['БЛОК ПИТАНИЯ ДЛЯ СЕРВЕРА'],['220В 400ВТ'],,,,,,,,,,,,,,,,,,,,,,,,,,
555,,1000,,,блок,блок питания,['БЛОК ПИТАНИЯ'],"['12В, ДО 1А']",,,,,,,,,,,,,,,,,,,,,,,,,,
556,,,,,усилитель,источник бесперебойного питания,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['750ВА 230В 138Х161Х363 13,18КГ']",,,,,750,,,,,,,,,,,,,,,,,,,,,
557,,,,,источник,источник бесперебойного питания,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['1500ВА 1200ВТ'],,,,,1200,,,,,,,,,,,,,,,,,,,,,
558,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['650ВА 230В'],,,,,650,,,,,,,,,,,,,,,,,,,,,
559,,,,,ИБП,ИБП APC,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['230В 1100ВА 660ВТ'],,,,,660,,,,,,,,,,,,,,,,,,,,,
560,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['230В 550ВА'],,,,,550,,,,,,,,,,,,,,,,,,,,,
561,,,,,источник,бесперебойное питание,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['1000ВА 230В IEC 320 C13 RJ-45 SERIAL SMARTSLOT USB 85Х480Х475 28,18КГ']",,,,,1000ва,iec 320 c13,,"rj-45, serial, smartslot, usb",,,,,,,,,,,,,,,,,,
562,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['600ВА 220В 2ВЫХОДА'],,,,,600,2,,,,,,,,,,,,,,,,,,,,
563,,230,,,система,система питания,['СИСТЕМА ДВОЙНОГО ПИТАНИЯ'],['220-12В'],,,,,,,,,,,,,сдп,,220-12в,,,,,,,,,,,
564,,,,,источник,источник питания,['ИСТОЧНИК ПИТАНИЯ БЕСПЕРЕБОЙНЫЙ'],['4КВА 220-240В'],,,,,4ква,,,,,,,,,,,,,,,,,,,,,
565,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['550ВА 230В 91Х190Х310 7,7КГ']",,,,,550,,,,,,,,,,,,,,,,,,,,,
566,,14,,,блок,блок питания,['БЛОК ПИТАНИЯ'],['220В 14ВТ 9А'],,,,,,,,,,,,,,,,,,,,,,,,,,
567,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['550ВА 230В CEE7/7'],,,,,550,8,,,,,,,,,,,,,,,,,,,,
568,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['1,5КВА 230В']",,,,,"1,5квт",,,,,,,,,,,,,,,,,,,,,
